,issue_d,revenue,dti_n,loan_amnt,fico_n,purpose,home_ownership_n,emp_length,experience_c,addr_state
0,-1.2211365346608454,-1.3436056807082952,-1.2602782065533353,-3.0290827262225775,-0.9536147819693438,-1.1360067563778427,-1.2966858612956842,-1.3415196073142226,8.316981355477033,-1.3516651156286033
1,-1.2713919849594706,-1.4065181001282516,-1.250426732262614,-2.8185873869668634,-1.010537588684273,-0.7464162971301839,-0.9888287987715837,-1.2680202809770766,12.837199094948343,-1.287616091844799
2,-1.3327203751066423,-1.447049763526013,-1.216755765961708,-2.915132244993407,-1.0730235043101726,-1.332663184131334,-1.1155016367200588,-1.2847646793345417,,-1.5149217498887404
3,-1.2387039298255655,-1.4945727590647915,-1.1709184108807136,-2.746391206852324,-1.1145156082763883,-1.2823267710482125,-1.2223993545994747,-1.3003446158518868,,-1.4990302288
4,-1.2722855251982517,-1.5250003726544032,-1.1343962903678917,-2.6142025502695336,-1.1537802849988124,-1.3748889729924565,,-1.2935477363100325,,-1.4170770691258656
5,-1.2589609446856198,-1.5295326306812325,-1.0932608493953875,-2.017878037029749,-1.2356290554702873,-1.1447087760370889,,-1.2694900210162539,,-1.648296809956653
6,-1.224720056934478,-1.5760875689670852,-1.0496537798843169,-2.443902468431842,-1.2896473020430377,-1.0821833702149404,,-1.2819635094357302,,-1.540778798563724
7,-1.2492387028165357,-1.6295445958745705,-1.0111046345213281,-2.1919109501353438,-1.326379156089601,-1.2585218201845914,,-1.2888449838667995,,-1.336458339230264
8,-1.251283807496196,-1.6652155788388214,-0.9704870574930109,-2.324477595830288,-1.3914271466049424,-1.5256125587209768,,-1.2718687268134619,,-1.419485458402696
9,-1.2163124658369127,-1.7183966722118553,-0.9177517637243895,-2.0965080742752074,-1.514879800622467,-1.0992839651634323,,-1.2389347585627697,,-1.3992534131551893
10,-1.3023015150722206,-1.775188370782648,-0.8764654057677301,-2.1683111038117953,-1.6061509725560046,-1.0417358417889406,,-1.2393982310504092,,-1.4161496613287599
11,-1.266913358624038,-1.9070095905491034,-0.8063498850115949,-2.1362126126391874,-1.7281593777454147,-1.0359966262813551,,-0.9069888193151378,,-1.3129339797904833
12,-1.3018279459966613,-1.874326000474425,-0.7302363365775772,-2.0808080927652566,-1.9268366087880742,-1.7036820508622244,,,,-1.3169672974847157
13,-1.333825454111543,-2.0138669540685514,-0.6113839370346011,-1.9637743692088914,-2.2684908568733086,-1.105845076810655,,,,-1.269198610394697
14,-1.3078043831573989,,,,,,,,,-1.4017060330045747
15,-0.9989261652071086,,,,,,,,,-1.6005915877684058
16,-1.1102385169911069,,,,,,,,,-1.3281853096170186
17,-1.0656622409618395,,,,,,,,,-1.1775097793195124
18,-1.0391313187790021,,,,,,,,,-1.6802349811175843
19,-0.9458254825556897,,,,,,,,,-1.3679470078348928
20,-0.9871431845963085,,,,,,,,,-1.2144644971794445
21,-2.3734866452583807,,,,,,,,,-1.3096526668140507
22,-2.1303202179710854,,,,,,,,,-1.712445732786566
23,-1.8156626627845809,,,,,,,,,-1.388674144761629
24,-1.0868878193237184,,,,,,,,,-1.3110657365461642
25,-1.0617350331200275,,,,,,,,,-1.8936310109331373
26,-1.0824769313259914,,,,,,,,,-1.4714628913978458
27,-1.1820662754648037,,,,,,,,,-1.499344977460839
28,-1.3180533334243574,,,,,,,,,-1.3763314619282068
29,-1.3073915039766266,,,,,,,,,-1.8383176835138664
30,-1.370691159096992,,,,,,,,,-1.3211309799995103
31,-1.3152292310704903,,,,,,,,,-1.4160230623602559
32,-1.286819951939388,,,,,,,,,-1.3180552693160343
33,-1.3207604941584759,,,,,,,,,-1.7689714408982935
34,-1.3535736415855264,,,,,,,,,-1.1285843019657702
35,-1.3462337057716531,,,,,,,,,-1.8225463776676496
36,-1.314371750021123,,,,,,,,,-1.5708779416171896
37,-1.3700941304078245,,,,,,,,,-1.1442790395320996
38,-1.362103257619368,,,,,,,,,-1.2799901843765016
39,-1.4585034794847989,,,,,,,,,-1.6951607017185986
40,-1.493109624281183,,,,,,,,,-1.6208559952683819
41,-1.5252151928314355,,,,,,,,,-1.6263257582352209
42,-4.224363473897337,,,,,,,,,-1.1898606925996313
43,-3.913971885074474,,,,,,,,,-1.3440798505175835
44,-2.8798256305272063,,,,,,,,,-1.0518395847891255
45,-1.5121331468853552,,,,,,,,,-1.5790601447805297
46,-1.3961754392407102,,,,,,,,,-1.3398568822293384
47,-1.2956900914740828,,,,,,,,,-1.9184043827733173
48,-1.3222435434510096,,,,,,,,,-1.4162362226250735
49,-1.5224893130906538,,,,,,,,,-1.496832252897768
50,-1.6472832853477422,,,,,,,,,-1.516964014895429
51,-1.5728346774893989,,,,,,,,,
52,-1.681984515838286,,,,,,,,,
53,-1.595347186304356,,,,,,,,,
54,-1.6014745903436998,,,,,,,,,
55,-1.4274301910264449,,,,,,,,,
56,-1.636902177741873,,,,,,,,,
57,-1.6451086121502563,,,,,,,,,
58,-1.7692533120645897,,,,,,,,,
59,-1.7981604437339216,,,,,,,,,
60,-1.8463083961236209,,,,,,,,,
61,-1.7026131737579417,,,,,,,,,
62,-1.596808219088886,,,,,,,,,
63,-1.3785645808371196,,,,,,,,,
64,-1.5743906353405064,,,,,,,,,
65,-1.7630319583909186,,,,,,,,,
66,-1.3733056849968763,,,,,,,,,
67,-1.5719936673995296,,,,,,,,,
68,-1.9544527560757468,,,,,,,,,
69,-1.928119173934963,,,,,,,,,
70,-1.8446173454160957,,,,,,,,,
71,-1.6499584740501338,,,,,,,,,
72,-1.8720489214360907,,,,,,,,,
73,-1.5668580076221208,,,,,,,,,
74,-1.5464616735674253,,,,,,,,,
75,-1.7371226409920026,,,,,,,,,
76,-1.9393371384462355,,,,,,,,,
