,revenue,dti_n,loan_amnt,fico_n,purpose,home_ownership_n,zip_code,title,unemployment_rate
0,34000.0,7.39,5000.0,667.0,small_business,RENT,415xx,HELP,4.9
1,42000.0,10.56,7000.0,672.0,moving,OTHER,738xx,payments,5.0
2,50000.0,13.07,9000.0,677.0,renewable_energy,OWN,736xx,Pay bills,5.1
3,56000.0,15.36,10000.0,682.0,house,MORTGAGE,833xx,BILLS,5.3
4,65000.0,17.62,12000.0,692.0,educational,,739xx,business,5.5
5,73000.0,19.96,15000.0,697.0,medical,,583xx,pay bills,5.7
6,84000.0,22.56,18000.0,707.0,debt_consolidation,,689xx,relief,6.2
7,100000.0,25.6,21000.0,717.0,other,,638xx,getting out of debt,6.9
8,125000.0,29.66,27350.0,737.0,vacation,,686xx,business loan,7.7
9,9550000.0,999.0,40000.0,847.5,home_improvement,,438xx,CONSOLIDATE,10.0
10,,,,,major_purchase,,683xx,New Beginning,
11,,,,,credit_card,,687xx,Debt Help,
12,,,,,car,,669xx,Small Business,
13,,,,,wedding,,464xx,DEBT CONSOLIDATION LOAN,
14,,,,,,,749xx,Pay off bills,
15,,,,,,,237xx,freedom loan,
16,,,,,,,639xx,financial freedom,
17,,,,,,,753xx,debt consoladation,
18,,,,,,,693xx,Reduce Debt,
19,,,,,,,426xx,consolidate bills,
20,,,,,,,409xx,debt consolidate,
21,,,,,,,215xx,vacation loan,
22,,,,,,,414xx,home improvements,
23,,,,,,,413xx,Pay off loan,
24,,,,,,,586xx,Club Loan,
25,,,,,,,369xx,lower interest,
26,,,,,,,737xx,Small_Business Loan,
27,,,,,,,158xx,Small Business Loan,
28,,,,,,,392xx,Back on track,
29,,,,,,,169xx,Unknown,
30,,,,,,,585xx,bills,
31,,,,,,,684xx,Business Expansion,
32,,,,,,,746xx,credit payoff,
33,,,,,,,178xx,consolidate credit cards,
34,,,,,,,703xx,Credit loan,
35,,,,,,,679xx,medical bills,
36,,,,,,,572xx,New start,
37,,,,,,,367xx,creditcards,
38,,,,,,,082xx,Business,
39,,,,,,,710xx,Pay off cards,
40,,,,,,,385xx,Recovery,
41,,,,,,,424xx,Credit Card Paydown,
42,,,,,,,723xx,dedt consolidation,
43,,,,,,,227xx,PAY OFF,
44,,,,,,,482xx,bill pay,
45,,,,,,,718xx,Remodel,
46,,,,,,,681xx,PAY OFF CREDIT CARDS,
47,,,,,,,360xx,Credit Card loan,
48,,,,,,,636xx,fresh start,
49,,,,,,,289xx,cc refi,
50,,,,,,,355xx,Help,
51,,,,,,,763xx,Payoffs,
52,,,,,,,407xx,credit debt,
53,,,,,,,792xx,FREEDOM,
54,,,,,,,485xx,outofdebt,
55,,,,,,,135xx,New beginning,
56,,,,,,,386xx,Working Capital,
57,,,,,,,874xx,Starting Over,
58,,,,,,,720xx,Dept consolidation,
59,,,,,,,561xx,payback,
60,,,,,,,242xx,Credit card payment,
61,,,,,,,395xx,Debit Consolidation,
62,,,,,,,238xx,home loan,
63,,,,,,,104xx,Debts,
64,,,,,,,881xx,Relocation,
65,,,,,,,445xx,Breathing Room,
66,,,,,,,390xx,Myloan,
